PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence)
104893,5539,Tedious Norwegian offering which somehow snagged an Oscar nomination,1,Tedious Norwegian offering which somehow snagged an Oscar nomination,4,3,2.0
80727,4158,I simply can not recommend it enough .,3,I simply ca n't recommend it enough .,0,3,2.0
25762,1178,Amazing !,4,Amazing !,2,2,2.0
137444,7436,lame comedy .,0,lame comedy .,2,2,2.0
137443,7436,A lame comedy .,0,A lame comedy .,2,2,2.0
86068,4455,An exhilarating experience .,4,An exhilarating experience .,2,2,2.0
66975,3400,I loved this film .,4,I loved this film .,2,2,2.0
66976,3400,loved this film .,4,loved this film .,2,2,2.0
66977,3400,loved this film,4,loved this film,2,2,2.0
144268,7831,A gripping drama .,4,A gripping drama .,2,2,2.0
104540,5518,Crummy .,0,Crummy .,2,2,2.0
59966,3025,one baaaaaaaaad movie,0,one baaaaaaaaad movie,2,2,2.0
126103,6774,Stale and,0,Stale and,2,2,2.0
104892,5539,Tedious Norwegian offering which somehow snagged an Oscar nomination .,1,Tedious Norwegian offering which somehow snagged an Oscar nomination .,4,3,2.0
80679,4155,A well-crafted letdown .,1,A well-crafted letdown .,3,2,2.0
30052,1395,This thing is virtually unwatchable .,0,This thing is virtually unwatchable .,2,2,2.0
30053,1395,is virtually unwatchable .,0,is virtually unwatchable .,2,2,2.0
30054,1395,is virtually unwatchable,0,is virtually unwatchable,2,2,2.0
30055,1395,virtually unwatchable,0,virtually unwatchable,2,2,2.0
30056,1395,unwatchable,0,unwatchable,2,2,2.0
150020,8170,utter tripe,0,utter tripe,2,2,2.0
150019,8170,a snore,1,a snore,2,1,2.0
150018,8170,a snore and,1,a snore and,2,1,2.0
150016,8170,both a snore and utter tripe,2,both a snore and utter tripe,1,1,2.0
150015,8170,is both a snore and utter tripe,0,is both a snore and utter tripe,4,4,2.0
150014,8170,is both a snore and utter tripe .,0,is both a snore and utter tripe .,4,4,2.0
155176,8495,Disgusting .,0,Disgusting .,2,2,2.0
150013,8170,Snipes is both a snore and utter tripe .,1,Snipes is both a snore and utter tripe .,3,2,2.0
24515,1115,Truly terrible,0,Truly terrible,2,2,2.0
24514,1115,Truly terrible .,0,Truly terrible .,2,2,2.0
150017,8170,a snore and utter tripe,0,a snore and utter tripe,1,1,2.0
104898,5539,snagged an Oscar nomination,3,snagged an Oscar nomination,4,1,2.0
59963,3025,This is one baaaaaaaaad movie .,0,This is one baaaaaaaaad movie .,2,2,2.0
109541,5803,lame .,0,lame .,2,2,2.0
92056,4791,Idiotic and ugly .,0,Idiotic and ugly .,2,2,2.0
59968,3025,baaaaaaaaad,0,baaaaaaaaad,2,2,2.0
18421,807,Execrable .,0,Execrable .,2,2,2.0
18422,807,Execrable,0,Execrable,2,2,2.0
59964,3025,is one baaaaaaaaad movie .,0,is one baaaaaaaaad movie .,2,2,2.0
109539,5803,... unbearably lame .,0,... unbearably lame .,2,2,2.0
109540,5803,unbearably lame .,0,unbearably lame .,2,2,2.0
59967,3025,baaaaaaaaad movie,0,baaaaaaaaad movie,2,2,2.0
79350,4087,can not recommend it .,0,ca n't recommend it .,2,2,2.0
79349,4087,I can not recommend it .,0,I ca n't recommend it .,2,2,2.0
92057,4791,Idiotic and ugly,0,Idiotic and ugly,2,2,2.0
92058,4791,Idiotic and,0,Idiotic and,2,2,2.0
110419,5849,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",4,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",1,3,1.9285714285714286
110420,5849,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way",2,"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way",1,1,1.9285714285714286
110421,5849,"The actors are simply too good , and the story too intriguing ,",4,"The actors are simply too good , and the story too intriguing ,",1,3,1.9285714285714286
110423,5849,"The actors are simply too good , and",4,"The actors are simply too good , and",1,3,1.9285714285714286
110429,5849,too intriguing,2,too intriguing,3,1,1.9285714285714286
110431,5849,technical flaws to get in the way,1,technical flaws to get in the way,2,1,1.9285714285714286
110424,5849,"The actors are simply too good ,",3,"The actors are simply too good ,",1,2,1.9285714285714286
110425,5849,The actors are simply too good,4,The actors are simply too good,1,3,1.9285714285714286
110426,5849,are simply too good,3,are simply too good,1,2,1.9285714285714286
110427,5849,too good,3,too good,1,2,1.9285714285714286
110432,5849,technical flaws,1,technical flaws,2,1,1.9285714285714286
110428,5849,the story too intriguing,2,the story too intriguing,1,1,1.9285714285714286
110430,5849,for technical flaws to get in the way,1,for technical flaws to get in the way,2,1,1.9285714285714286
110422,5849,"The actors are simply too good , and the story too intriguing",4,"The actors are simply too good , and the story too intriguing",1,3,1.9285714285714286
75208,3858,could have used my two hours better watching Being John Malkovich again,1,could have used my two hours better watching Being John Malkovich again,4,3,1.9
75215,3858,Being John Malkovich again,2,Being John Malkovich again,2,0,1.9
75210,3858,used my two hours better watching Being John Malkovich again,1,used my two hours better watching Being John Malkovich again,4,3,1.9
75211,3858,used my two hours better watching,1,used my two hours better watching,0,1,1.9
75212,3858,my two hours better watching,1,my two hours better watching,0,1,1.9
75209,3858,have used my two hours better watching Being John Malkovich again,1,have used my two hours better watching Being John Malkovich again,4,3,1.9
75213,3858,two hours better watching,3,two hours better watching,2,1,1.9
75206,3858,I could have used my two hours better watching Being John Malkovich again .,1,I could have used my two hours better watching Being John Malkovich again .,4,3,1.9
75207,3858,could have used my two hours better watching Being John Malkovich again .,0,could have used my two hours better watching Being John Malkovich again .,4,4,1.9
75214,3858,two hours better,2,two hours better,2,0,1.9
71848,3666,'s nowhere near as good as the original,1,'s nowhere near as good as the original,3,2,1.8888888888888888
71847,3666,'s nowhere near as good as the original .,1,'s nowhere near as good as the original .,3,2,1.8888888888888888
71846,3666,it 's nowhere near as good as the original .,1,it 's nowhere near as good as the original .,3,2,1.8888888888888888
71844,3666,bad of a movie,1,bad of a movie,0,1,1.8888888888888888
71845,3666,", it 's nowhere near as good as the original .",1,", it 's nowhere near as good as the original .",3,2,1.8888888888888888
71843,3666,all that bad of a movie,2,all that bad of a movie,0,2,1.8888888888888888
71840,3666,"While not all that bad of a movie , it 's nowhere near as good as the original .",1,"While not all that bad of a movie , it 's nowhere near as good as the original .",0,1,1.8888888888888888
71841,3666,While not all that bad of a movie,2,While not all that bad of a movie,0,2,1.8888888888888888
71842,3666,not all that bad of a movie,3,not all that bad of a movie,0,3,1.8888888888888888
110294,5841,such a horrible movie could have sprung from such a great one,1,such a horrible movie could have sprung from such a great one,0,1,1.875
152333,8312,is a big time stinker .,0,is a big time stinker .,2,2,1.875
110297,5841,have sprung from such a great one,3,have sprung from such a great one,4,1,1.875
110298,5841,sprung from such a great one,3,sprung from such a great one,4,1,1.875
110299,5841,from such a great one,3,from such a great one,4,1,1.875
110300,5841,such a great one,3,such a great one,3,0,1.875
152332,8312,'' is a big time stinker .,0,'' is a big time stinker .,2,2,1.875
152334,8312,is a big time stinker,0,is a big time stinker,2,2,1.875
110295,5841,such a horrible movie,0,such a horrible movie,2,2,1.875
152337,8312,time stinker,0,time stinker,2,2,1.875
152336,8312,big time stinker,0,big time stinker,2,2,1.875
110304,5841,of the year 's worst cinematic tragedies,1,of the year 's worst cinematic tragedies,4,3,1.875
110303,5841,one of the year 's worst cinematic tragedies,1,one of the year 's worst cinematic tragedies,4,3,1.875
110302,5841,is one of the year 's worst cinematic tragedies,0,is one of the year 's worst cinematic tragedies,4,4,1.875
110301,5841,is one of the year 's worst cinematic tragedies .,0,is one of the year 's worst cinematic tragedies .,4,4,1.875
110296,5841,could have sprung from such a great one,2,could have sprung from such a great one,2,0,1.875
152335,8312,a big time stinker,1,a big time stinker,2,1,1.875
110292,5841,That such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,0,That such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,4,4,1.875
152331,8312,The Adventures of Pluto Nash '' is a big time stinker .,0,The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875
152330,8312,`` The Adventures of Pluto Nash '' is a big time stinker .,0,`` The Adventures of Pluto Nash '' is a big time stinker .,2,2,1.875
110307,5841,cinematic tragedies,1,cinematic tragedies,2,1,1.875
110306,5841,worst cinematic tragedies,0,worst cinematic tragedies,1,1,1.875
110305,5841,the year 's worst cinematic tragedies,0,the year 's worst cinematic tragedies,4,4,1.875
110293,5841,That such a horrible movie could have sprung from such a great one,0,That such a horrible movie could have sprung from such a great one,0,0,1.875
127862,6877,its visual imagination is breathtaking,4,its visual imagination is breathtaking,4,0,1.8461538461538463
127858,6877,forced to reflect that its visual imagination is breathtaking,4,forced to reflect that its visual imagination is breathtaking,1,3,1.8461538461538463
127857,6877,are forced to reflect that its visual imagination is breathtaking,4,are forced to reflect that its visual imagination is breathtaking,1,3,1.8461538461538463
127863,6877,its visual imagination,3,its visual imagination,2,1,1.8461538461538463
127860,6877,reflect that its visual imagination is breathtaking,3,reflect that its visual imagination is breathtaking,1,2,1.8461538461538463
127856,6877,we are forced to reflect that its visual imagination is breathtaking,3,we are forced to reflect that its visual imagination is breathtaking,1,2,1.8461538461538463
127855,6877,", we are forced to reflect that its visual imagination is breathtaking",4,", we are forced to reflect that its visual imagination is breathtaking",1,3,1.8461538461538463
127854,6877,when it drags,1,when it drags,2,1,1.8461538461538463
127859,6877,to reflect that its visual imagination is breathtaking,3,to reflect that its visual imagination is breathtaking,1,2,1.8461538461538463
127853,6877,Even when it drags,2,Even when it drags,2,0,1.8461538461538463
127861,6877,that its visual imagination is breathtaking,4,that its visual imagination is breathtaking,1,3,1.8461538461538463
127852,6877,"Even when it drags , we are forced to reflect that its visual imagination is breathtaking",3,"Even when it drags , we are forced to reflect that its visual imagination is breathtaking",1,2,1.8461538461538463
127864,6877,is breathtaking,4,is breathtaking,2,2,1.8461538461538463
105314,5560,pretty stupid,0,pretty stupid,2,2,1.8333333333333333
105313,5560,'s pretty stupid,0,'s pretty stupid,2,2,1.8333333333333333
105309,5560,"Frankly , it 's pretty stupid .",1,"Frankly , it 's pretty stupid .",2,1,1.8333333333333333
105312,5560,'s pretty stupid .,0,'s pretty stupid .,2,2,1.8333333333333333
105311,5560,it 's pretty stupid .,0,it 's pretty stupid .,2,2,1.8333333333333333
105310,5560,", it 's pretty stupid .",0,", it 's pretty stupid .",2,2,1.8333333333333333
4543,172,a sharp movie,3,a sharp movie,2,1,1.8181818181818181
4540,172,'s a sharp movie about otherwise dull subjects .,3,'s a sharp movie about otherwise dull subjects .,0,3,1.8181818181818181
4546,172,about otherwise dull subjects,1,about otherwise dull subjects,2,1,1.8181818181818181
4545,172,sharp,3,sharp,2,1,1.8181818181818181
4544,172,sharp movie,3,sharp movie,2,1,1.8181818181818181
4541,172,'s a sharp movie about otherwise dull subjects,3,'s a sharp movie about otherwise dull subjects,0,3,1.8181818181818181
4542,172,a sharp movie about otherwise dull subjects,3,a sharp movie about otherwise dull subjects,0,3,1.8181818181818181
4549,172,dull,0,dull,2,2,1.8181818181818181
4548,172,otherwise dull,1,otherwise dull,2,1,1.8181818181818181
4547,172,otherwise dull subjects,1,otherwise dull subjects,2,1,1.8181818181818181
4539,172,It 's a sharp movie about otherwise dull subjects .,3,It 's a sharp movie about otherwise dull subjects .,0,3,1.8181818181818181
62890,3182,Thoroughly engrossing and ultimately tragic .,1,Thoroughly engrossing and ultimately tragic .,4,3,1.8
62891,3182,Thoroughly engrossing and ultimately tragic,2,Thoroughly engrossing and ultimately tragic,4,2,1.8
12562,539,` This movie sucks . ',0,` This movie sucks . ',2,2,1.8
62893,3182,Thoroughly engrossing,4,Thoroughly engrossing,2,2,1.8
62894,3182,ultimately tragic,1,ultimately tragic,2,1,1.8
62892,3182,Thoroughly engrossing and,3,Thoroughly engrossing and,2,1,1.8
12563,539,This movie sucks . ',1,This movie sucks . ',2,1,1.8
12564,539,sucks . ',0,sucks . ',2,2,1.8
12565,539,sucks .,0,sucks .,2,2,1.8
12566,539,sucks,0,sucks,2,2,1.8
54394,2703,an achievement,4,an achievement,2,2,1.8
54393,2703,such an achievement,4,such an achievement,2,2,1.8
54392,2703,is just such an achievement,3,is just such an achievement,2,1,1.8
54391,2703,is just such an achievement .,3,is just such an achievement .,2,1,1.8
54390,2703,Half Past Dead is just such an achievement .,4,Half Past Dead is just such an achievement .,1,3,1.8
154555,8450,"This method almost never fails him , and it works superbly here .",4,"This method almost never fails him , and it works superbly here .",0,4,1.7692307692307692
154561,8450,method,2,method,2,0,1.7692307692307692
154557,8450,"This method almost never fails him , and",3,"This method almost never fails him , and",1,2,1.7692307692307692
154558,8450,"This method almost never fails him ,",2,"This method almost never fails him ,",1,1,1.7692307692307692
154559,8450,This method almost never fails him,3,This method almost never fails him,1,2,1.7692307692307692
154560,8450,This method,2,This method,2,0,1.7692307692307692
154564,8450,fails him,0,fails him,2,2,1.7692307692307692
154562,8450,almost never fails him,3,almost never fails him,1,2,1.7692307692307692
154563,8450,never fails him,3,never fails him,1,2,1.7692307692307692
154566,8450,works superbly here,4,works superbly here,2,2,1.7692307692307692
154565,8450,it works superbly here,4,it works superbly here,2,2,1.7692307692307692
154567,8450,works superbly,4,works superbly,2,2,1.7692307692307692
154556,8450,"This method almost never fails him , and it works superbly here",2,"This method almost never fails him , and it works superbly here",0,2,1.7692307692307692
96999,5070,snoozer,0,snoozer,2,2,1.75
61020,3083,the film certainly does not disappoint .,3,the film certainly does n't disappoint .,1,2,1.75
96997,5070,high-minded snoozer .,0,high-minded snoozer .,2,2,1.75
121241,6492,... Watching it was painful .,1,... Watching it was painful .,2,1,1.75
120943,6474,"No , I hate it .",0,"No , I hate it .",2,2,1.75
120944,6474,", I hate it .",0,", I hate it .",2,2,1.75
120945,6474,I hate it .,0,I hate it .,2,2,1.75
121242,6492,Watching it was painful .,0,Watching it was painful .,2,2,1.75
120946,6474,hate it .,1,hate it .,2,1,1.75
61016,3083,"On that score , the film certainly does not disappoint .",4,"On that score , the film certainly does n't disappoint .",1,3,1.75
61021,3083,certainly does not disappoint .,3,certainly does n't disappoint .,1,2,1.75
104551,5520,"Cold , nervy and memorable .",3,"Cold , nervy and memorable .",1,2,1.75
104554,5520,nervy and,3,nervy and,2,1,1.75
104553,5520,nervy and memorable,3,nervy and memorable,2,1,1.75
104552,5520,"Cold , nervy and memorable",4,"Cold , nervy and memorable",1,3,1.75
61023,3083,does not disappoint,3,does n't disappoint,1,2,1.75
96998,5070,snoozer .,0,snoozer .,2,2,1.75
96996,5070,A high-minded snoozer .,1,A high-minded snoozer .,2,1,1.75
61019,3083,", the film certainly does not disappoint .",4,", the film certainly does n't disappoint .",1,3,1.75
121244,6492,was painful,0,was painful,2,2,1.75
121243,6492,Watching it was painful,0,Watching it was painful,2,2,1.75
61017,3083,On that score,2,On that score,2,0,1.75
61018,3083,that score,2,that score,2,0,1.75
61022,3083,does not disappoint .,3,does n't disappoint .,1,2,1.75
104503,5515,emerges as a surprisingly anemic disappointment,0,emerges as a surprisingly anemic disappointment,2,2,1.7142857142857142
95424,4984,film that will enthrall the whole family,4,film that will enthrall the whole family,2,2,1.7142857142857142
104507,5515,surprisingly anemic,2,surprisingly anemic,2,0,1.7142857142857142
95427,4984,enthrall the whole family,4,enthrall the whole family,2,2,1.7142857142857142
104506,5515,surprisingly anemic disappointment,1,surprisingly anemic disappointment,2,1,1.7142857142857142
95428,4984,enthrall,3,enthrall,2,1,1.7142857142857142
104505,5515,a surprisingly anemic disappointment,0,a surprisingly anemic disappointment,2,2,1.7142857142857142
7712,312,soul-searching,3,soul-searching,2,1,1.7142857142857142
61831,3125,"phenomenal , especially the women",2,"phenomenal , especially the women",2,0,1.7142857142857142
61832,3125,"phenomenal , especially",4,"phenomenal , especially",2,2,1.7142857142857142
61833,3125,"phenomenal ,",4,"phenomenal ,",2,2,1.7142857142857142
104504,5515,as a surprisingly anemic disappointment,0,as a surprisingly anemic disappointment,2,2,1.7142857142857142
104502,5515,emerges as a surprisingly anemic disappointment .,0,emerges as a surprisingly anemic disappointment .,2,2,1.7142857142857142
95423,4984,film that will enthrall the whole family .,4,film that will enthrall the whole family .,2,2,1.7142857142857142
95422,4984,A film that will enthrall the whole family .,3,A film that will enthrall the whole family .,2,1,1.7142857142857142
95426,4984,will enthrall the whole family,4,will enthrall the whole family,2,2,1.7142857142857142
7711,312,soul-searching garbage .,0,soul-searching garbage .,2,2,1.7142857142857142
104501,5515,The picture emerges as a surprisingly anemic disappointment .,0,The picture emerges as a surprisingly anemic disappointment .,3,3,1.7142857142857142
61830,3125,"is phenomenal , especially the women",4,"is phenomenal , especially the women",2,2,1.7142857142857142
61829,3125,"is phenomenal , especially the women .",4,"is phenomenal , especially the women .",2,2,1.7142857142857142
7708,312,... irritating soul-searching garbage .,0,... irritating soul-searching garbage .,2,2,1.7142857142857142
7709,312,irritating soul-searching garbage .,0,irritating soul-searching garbage .,2,2,1.7142857142857142
61834,3125,phenomenal,4,phenomenal,2,2,1.7142857142857142
7710,312,irritating,0,irritating,2,2,1.7142857142857142
7713,312,garbage .,0,garbage .,2,2,1.7142857142857142
7714,312,garbage,1,garbage,2,1,1.7142857142857142
61828,3125,"The cast is phenomenal , especially the women .",4,"The cast is phenomenal , especially the women .",2,2,1.7142857142857142
95425,4984,that will enthrall the whole family,4,that will enthrall the whole family,2,2,1.7142857142857142
65279,3304,"and more entertaining , too",3,"and more entertaining , too",1,2,1.6666666666666667
50718,2494,watching a documentary,2,watching a documentary,2,0,1.6666666666666667
50717,2494,more fun watching a documentary,1,more fun watching a documentary,3,2,1.6666666666666667
65280,3304,"more entertaining , too",3,"more entertaining , too",1,2,1.6666666666666667
130778,7046,lousy movie,0,lousy movie,2,2,1.6666666666666667
84371,4362,miserable and smug,1,miserable and smug,2,1,1.6666666666666667
65281,3304,"more entertaining ,",3,"more entertaining ,",2,1,1.6666666666666667
84373,4362,miserable,0,miserable,2,2,1.6666666666666667
50716,2494,having more fun watching a documentary,2,having more fun watching a documentary,3,1,1.6666666666666667
50715,2494,imagine having more fun watching a documentary,1,imagine having more fun watching a documentary,3,2,1.6666666666666667
84372,4362,miserable and,0,miserable and,2,2,1.6666666666666667
98640,5171,'s always enthralling,4,'s always enthralling,2,2,1.6666666666666667
98639,5171,'s always enthralling .,3,'s always enthralling .,2,1,1.6666666666666667
154554,8449,dreadful romance,1,dreadful romance,2,1,1.6666666666666667
65276,3304,"Oh , and more entertaining , too .",3,"Oh , and more entertaining , too .",1,2,1.6666666666666667
65277,3304,", and more entertaining , too .",2,", and more entertaining , too .",1,1,1.6666666666666667
154553,8449,dreadful romance .,0,dreadful romance .,2,2,1.6666666666666667
154552,8449,Staggeringly dreadful romance .,0,Staggeringly dreadful romance .,2,2,1.6666666666666667
50703,2494,"you love the music , and I do",3,"you love the music , and I do",2,1,1.6666666666666667
50704,2494,"you love the music , and",4,"you love the music , and",2,2,1.6666666666666667
65278,3304,"and more entertaining , too .",3,"and more entertaining , too .",1,2,1.6666666666666667
130777,7046,One lousy movie,0,One lousy movie,2,2,1.6666666666666667
130776,7046,One lousy movie .,1,One lousy movie .,2,1,1.6666666666666667
50705,2494,"you love the music ,",3,"you love the music ,",2,1,1.6666666666666667
50706,2494,you love the music,3,you love the music,2,1,1.6666666666666667
50702,2494,"If you love the music , and I do",3,"If you love the music , and I do",2,1,1.6666666666666667
50701,2494,"If you love the music , and I do , its hard to imagine having more fun watching a documentary ...",4,"If you love the music , and I do , its hard to imagine having more fun watching a documentary ...",3,1,1.6666666666666667
50707,2494,love the music,4,love the music,2,2,1.6666666666666667
50708,2494,the music,2,the music,2,0,1.6666666666666667
50709,2494,I do,2,I do,2,0,1.6666666666666667
94125,4911,Yet another weepy Southern bore-athon .,2,Yet another weepy Southern bore-athon .,0,2,1.6666666666666667
50711,2494,its hard to imagine having more fun watching a documentary ...,4,its hard to imagine having more fun watching a documentary ...,1,3,1.6666666666666667
50712,2494,hard to imagine having more fun watching a documentary ...,4,hard to imagine having more fun watching a documentary ...,0,4,1.6666666666666667
50713,2494,hard to imagine having more fun watching a documentary,4,hard to imagine having more fun watching a documentary,0,4,1.6666666666666667
50714,2494,to imagine having more fun watching a documentary,2,to imagine having more fun watching a documentary,0,2,1.6666666666666667
50710,2494,", its hard to imagine having more fun watching a documentary ...",4,", its hard to imagine having more fun watching a documentary ...",1,3,1.6666666666666667
84370,4362,"Lazy ,",1,"Lazy ,",2,1,1.6666666666666667
94126,4911,another weepy Southern bore-athon .,0,another weepy Southern bore-athon .,2,2,1.6666666666666667
52410,2592,that hard,2,that hard,2,0,1.6666666666666667
94130,4911,bore-athon,1,bore-athon,2,1,1.6666666666666667
84369,4362,"Lazy , miserable and smug",0,"Lazy , miserable and smug",2,2,1.6666666666666667
142557,7739,poo,1,poo,2,1,1.6666666666666667
142556,7739,poo .,0,poo .,2,2,1.6666666666666667
142555,7739,Cinematic poo .,0,Cinematic poo .,2,2,1.6666666666666667
71073,3625,half-assed,1,half-assed,2,1,1.6666666666666667
